,MSRP,PASSCAPACITY,DOORS,WHEELBASE,WIDTH,HEIGHT,FUELCAPACITY,CITYMPG,HWYMPG,TORQUE,HORSEPOWER,DISPLACEMENT,AIRBAGFRONTDRIVER,AIRBAGFRONTPASS,AIRBAGSWITCH,AIRBAGSIDEBODYFRONT,AIRBAGSIDEBODYREAR,AIRBAGSIDEHEADFRONT,AIRBAGSIDEHEADREAR,ABS,CHILDSAFETYLOCK,DAYTIMERUNLIGHTS,TRACCONTROL,NIGHTVISION,ROLLOVERBARS,FOGLAMPS,PARKINGAID,TPS,BACKUPCAM,STABCONTROL,MANUAL,AUTOMATIC,DRIVETRAIN_4wd,DRIVETRAIN_awd,DRIVETRAIN_fwd,DRIVETRAIN_rwd,BODYSTYLE_4drcar,BODYSTYLE_convertible,BODYSTYLE_crewcabpickuplongbed,BODYSTYLE_crewcabpickupshortbed,BODYSTYLE_crewcabpickupstandardbed,BODYSTYLE_extendedcabpickuplongbed,BODYSTYLE_extendedcabpickupshortbed,BODYSTYLE_extendedcabpickupstandardbed,BODYSTYLE_fullsizepassengervan,BODYSTYLE_hatchback,BODYSTYLE_minivanpassenger,BODYSTYLE_regularcabpickuplongbed,BODYSTYLE_regularcabpickupshortbed,BODYSTYLE_regularcabpickupstandardbed,BODYSTYLE_sportutility,BODYSTYLE_stationwagon,NUMCYLINDERS_4,NUMCYLINDERS_5,NUMCYLINDERS_6,NUMCYLINDERS_8,NUMCYLINDERS_10,NUMCYLINDERS_12,NUMGEARS_3,NUMGEARS_4,NUMGEARS_5,NUMGEARS_6,NUMGEARS_7,NUMGEARS_8
128,54455,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
129,52555,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
130,42230,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
131,47805,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
132,45905,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
133,53755,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
134,51855,7,4,108.3,78.5,68.2,21,16,21,270,300,3.7224,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
135,40990,7,4,108.3,78.5,68.2,21,15,20,275,300,3.7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
136,46790,7,4,108.3,78.5,68.2,21,15,20,275,300,3.7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
137,45040,7,4,108.3,78.5,68.2,21,15,20,275,300,3.7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
138,48890,7,4,108.3,78.5,68.2,21,15,20,275,300,3.7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
139,47140,7,4,108.3,78.5,68.2,21,15,20,275,300,3.7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
